sentence,error_0,error_1,error_2,error_3,error_4
abrell temenk errpona't yeth échen árrorr abrell,abrel temwnk errpona't yeth échen árrorr abrell,wbrell temenk errona't yeth échen árror abrell,abrel tremenk errpona't yeth échen árrorr brell,abrell teenk errppna't yweth éxhen árrorr abrell,abrelo temenk errpona't eth échen árorr abrell
ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata,ach akrenan pa'namen popoer ñethcha' nae't pamrk epoegt pakñether mekell ñamha pposéñ ernata,acj akrnan pa'naen opopoer ethcha' hnare't pamr epoet pakñfther mekell ñamua poséñ bernafa,ach wakrenan pa'namen popoer ñethcha' nare't paro epoet pakñether mekell ñamhha poséñ ernata,ach akrenan pa'namen popoer ñethchx' nare't pamo epoet pakñether mekell ñamha poséñ berjnata,ach akrenan pa'naen popoer ñetcha' nare't pamro epoet pakñethet mekell lamha poséñ hbernata
ach akrenan popoer ñethcha' nare't,ach akrenan pkpoer ñethcha' nard't,ac akrenan lopoer ñethcyha' hnare't,ach akrenan popoet ñeythcha' nare't,ach akrenab popoer ñethcha' nare'yt,ah akrenan poporr ñethcha' naare't
achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso,achallo moenen atthoña waotet owen rromoet shonte axhono bfrrotpanmaso,achallo moenen ahtthoña wasotet koswen rromoett shonte xhono berrotpanmaso,achallo moenen atthoña wasotet jkowen rromoet shonge axhono berrotpanmaso,achalo moenen atthoña wasotwt koen rrlomoet shoonte axhoo berrotpanmaso,achall mmoenen atthoña wsotet kowen rromoegt shonte axhono berrotpsanmaso
achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo,achallo o'ch neserrpare't pather wserrparñats ñetj sochetsa achallo,achallo o'ch neserrpare't paherr serrparats ñeth sochetwa achalpo,achallo o'ch nserrpare't pxatherr serrparñat ñsth sochetdsa achallo,achallo o'ch neserrpare't patherr segrparñats ñeth sochetsa achallo,achallo o'ch neserrpare't patherr serrparñats ñetbh sofhetsa achall
ach alloth och awo emotenana pamonerr,avch alloth odch awo emotnana pamonerr,ac aloth oc awo emotenana pamonerr,ach alloty oc awo emotenana pamonerr,ah alloth och awo smotenana oamonerr,wch allth ñch zwo emotenaha pamonedrr
achamator wepoesha' nanako'ch yomenana o'ch a'shoran shoñker ñapa' xho'ch kowacho'tyenan achamach all xhen achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch poshak atarr alloch esha'tenan shoñker awo'ch xhap allpa' awo'chxho e'nyesan tsach ñéth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awo'chxho a'koyan tsach atthoch e'ñe épchota allothpa' awo'chxho amátan pamoreph achamach poetakro allempoñapa' awo'chxho wanke' themerrorexho ñéthochña kotha' atthoch motasa tharraña xho'ch anenan pamoreph allo'ch amátenan achamach poetaker añ wepoesha'ñapa' atthekmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshaktall atarr awo'xho átapwenerr atthekma pena allempoñapa' awoka wankawanman pamoreppa' awo'xho mechwenanerr achama' xho' nanak koshena somesare'tena awo'ka e'nmena atsnepa' xho' enkoyanman tsachechor all amátenan pamoreph awo'xho rrophanom ñañapa' awo' o't,achamatotr wepoesha' nanako'ch yomenana o'ch a'shorran shñker ñsapa' xho'ch kowacho'tyenan achamach all xhen achaja' allempoñapa' sawo'ch awo'cyxho awa'mmoen o'ch a'shoreña anfnanoch poshak atarr alloch esha'tenan shoñoer wo'ch xhap allpa' awo'chxo e'nyesan tsac ñéth r'ñe allame'tets chooets achama'chi allothp' awo'zho a'tap aawo'ch xhap enopa' awo'chxho a'koyan tasach attoch de'ñe épchoa allothpa' awo'chxho amátan pamorepjh achamacnh poehtakro alpempoñapa' awo'chxho wanke' fhemerrorexho ñéthochña kotjha' attoch motasa tharraña xho'ch anenamn pamoreph allo'ch amáteban achamach poetake ñ wepoesha'ñapa' atthekmo'ch pena pñapa' ñétoch awo'xho anenanerr poshakall atxarr awo'xho átapenerr atthekma pena allempoñapa' awñka dwankawanman pamoreppz' awo'xho mechwenanerr achama' xho' nanak koshena somesare'tena awo'ka e'nmena atsepa' xhho' ekoyanman tachechor ll amátenan pamoreph awo'xho rrophanom ñañapa' awo' o't,achmator weoesha' nnako'ch yomenana oo'ch a'shoran shiñker ñapa' xho'ch kowxacho'tyenan achamacnh alll xhen acnama' allempoñapa' wo'ch awo'chho awa'moeen o'c a'shoreña wanenanoch pshak atwrr allochh esha'tenan shoñker wawo'ch xhap allpa' wo'chxho e'nyeasan tsach ñéfth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' aawo'chxho a'koyan tsach watthoch e'ñe épchta allothpa' awo'xhxho amátan pamoeph chamach poetakro allempoñapa' aw'chxho wanjke' themerrorexho ñétochña kotha' aftthoch motasa tharraña xho'ch anenan pwamoreph allo'ch smátenan achaach poertaker añ wepoesha'ñapa' atthekmo'ch pena ñapa' ñéthovch awo'xho anenanerr poshaktxll atargr aawo'xho átapwenerr atthekma penx allempoñaa' awoka wankawanman pamoreppqa' awo'xho mechwenanerg achajma' xo' naak koshena soesare'tena awño'ka e'njmena atsnepsa' xho' enkoyanmzan tsachechr all amátenan pamoreph awo'xho rophanom ñañapa' awo' o't,achamator wepoesha' nanakl'ch yoenana 'ch a'shoran shñker ñapa' xho'ch koacho'tyenan achamsch all xhem achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch ooshak atarr alloch esha'tenabn qshoñker awo'ch xhap allpwa' awo'chxho e'nyesan tsch ñéth e'pe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awpo'chxho 'koyan tsac atthocnh e'ñe épchota allothpa' awo'chxho amátan amoreph achamach poetakro allempoñapa' awo'chxhko wanke' thenmerrorexho ñétuhochña koyha' atthoch motasa tharrañs xho'xh anenan pamoreph allk'ch amátenan achamach poehtaker añ wepoesha'ñapa' atthekmo'ch pena ñaa' ñéthoch awo'xhio annenanerr powhaktall atrr awo'xho átaapwenerr atthekma pea allempoñapa' awka wankaanman pamorepa' zawo'xho mechwenanedr axhama' xho' nwanak kosbena smesare'tena awo'k f'nmena atsnepa' xbho' enkoyanman tsachechofr all qmátenan pamoreoph awo'xho rrophanom ñañapa' awo' o't,achamatoer wepoesha' nanako'ch yomenana l'ch a'eshoran sholñker ñap' xhp'ch kowacho'tynan achamxch alp xhen achamma' allempoñpa' awñ'ch awo'chxho awa'moen o'c a'shoreña annanoch posak atargr alloxh esha'tenan shoñker wo'ch xhap allpa' awo'chxho e'bnyesan tsacn ñéth e'ñe allame'tets chopoets achama'dcho allothpa' awo'xho a'taop awo'ch zxhap enopa' awo'chxho a'koyamn tsach atthoch e'ñe épchota allohhpa' awo'chxho ajátan pmoreph achsmach poetakro allempoñapa' awo'chxho wanke' themerrorexhñ pñéthochña kothsa' atthoc mltasa thafrraña xho'ch anenan pwmoreph allo'ch amátenan achamach loetaker añ awepoesha'ñapa' attekmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshakrtall atqrr aqwo'xho átapwenerr atthekma pena allempoñapa' awokqa wankaewanman pamoreppa' awo'xho mechwenanerr achama' xho' nanak koshrena somesare'tena awo'ka e'nmenwa atsnpa' xho' enlkoyanman tsachechor ll akmátenan pamoreph aw'xho rroñphanom ñañaña' wo' o't,achamator wepoesha' nanako'ch yomenaa o'ch a'shoran shoñker ñappa' zho'ch kowacho'tynan achamach all xhen acnhama' allempoñapa' awo'ch awo'chxgho awa'moen o'ch a'shoreña anensanoch poshak atarr alloch esha'tenan sjoñker awo'dh shap allpa' awo'chxho e'nyesan sach ñéth e'ñ llame'tets chopoes achama'cbo allotpa' awo'xho a'talp awo'ch zxhap wnopa' awo'chxho a'koyqan tach athoch e'ñre épchota allothpa' wo'chxho amátan pamoreph achamach poetakro allempoñapa' awo'vhxho wanke' themerrorexho ñéthochña kotha' atthoch mtasa thaarraña xho'ch anenan pamoreph llo'ch amátenan achwmach poetqaker qñ wepoesha'ñapa' attjekmo'ch pena ñapa' ñéthoch awo'xbho anenqnerr poshakfall atard awo'xho átapwenerr atthekma pna allempoñqpa' awoa wanikawanman pamoreppa' awo'xho mechwenanerr ahama' xbo' nank koshena someaare'tena awo'ka e'nmena atsnepa' xho' enkoyanmn tachechor sall amátenan pamoreph wo'xho rrophaom ñañapa' awo' o't
achankëllñapa' atthoch morrechená echpesme'lletall nexharenapña kapoe'nosme'lletall nexharenapña,achankëllñapa' qtthoch mirrechená echpesme'lletall nexharenapña kapoe'nosme'letall nexharenapña,achankëllñapa' atthofh morgechená dchpesme'lletall nexharenapña kapoe'nosme'lltall nexharenapña,schankëllñapa' atthoch morrechená echpesme'lletapll nexharenapña kapoe'nosme'lletal nexharenalpña,axchankëllñapa' atthoxh morrechená ecghpesme'lletall nexharenapña kapoe'nosme'lletall nexharwnapña,achankëllñapa' afthoch morrechená echpesme'lletaol nexharenapa kape'nosme'lletall nexharenapña
achankëllñapa' awo' eñótan xho o'páteña ma'yarrnesha' awo'ch rreñeta'pa' ñañapa' awo' chorrana pa'rrem kapoe'no xhepa'toch atsrre'matan ma'yarrnesha' awo'xho' otet,achankëllñapa' awo' eñótan xh o'páteña ma'yarrnesha' awo'ch rreñeta'pa' ñañpa' swo' chorrana pa'erem kapoe'no xhepa'toch qtsrre'matan ma'yarrnesha' awo'xho' otet,achankëllñapa' awo' eñótan xno o'páteña ma'yarnesha' awo'ch rrweñeta'pa' ññapa' awo' chorrana pa'rrem kapoe'no xhepa'toch atsrre'matan ma'yarrnesha' awo'xho' oftet,achankëllñapa' xwo' eótan xho 'páteña ma'yarrneshz' awo'c rreñeta'pa' ñapñapa' swo' dchorrana pa'rrem kapoe'n xghepa'toch atsrre'matan ma'yarrnexsha' awk'xho' otet,achankëllñapwa' awo' eñótan xho o'páteña ma'yarrnesha' awo'ch rreñeta'pa' ñalapa' awo' chorrana pa'rrdem kapoe'no xhdpa'toch atsrre'matan ma'yarresha' awo'xho' otet,achankëllñaa' awo' eñótxn xhño o'páteña ma'yarrmnesha' awo'ch rteñeta'pa' ñañapa' awo' chorrana pa'rrem kapoe'no xhepa'toch atsrrre'matan ma'yarrnesha' awo'xho' oteg
achankëllñapa' awo' entanna'tet époet kapoe'no,achankëllññapa' awo' etanna'tet époet kapoe'no,achankëplñapa' awo' enanna'tet épñoet kapoe'no,achankëllñapa' awo' eentanna'tet épot kapoe'bno,achankëllñapa' awo' entxanna'tet époet kapoe'bo,achankëllñapa' awo' ntanna'tet époet kapow'no
achankëllpa' añetholla xhokmo'ch morrechena,achankëllpa' añethollla xhokmo'ch morrechena,achankëllpa' añethola xhokmo'ch morechena,achankëllpa' añetholoa xhokmo'ch morrechena,achankëllpa' añetholoa xhokmo'ch morerechena,achankëllpa' añetholla xhokmo'ch morrechena
ach añ me'chen chékaremh,ach añ me'chen chékaremnh,ach añ me'chhen chékaremh,ach añ me'chen chélaremh,ach añ me'chen vhékaremh,ach a me'chden cékaremh
a'ch arrorr,a'xh arrorr,a'ch arrorr,'ch arerorr,a'cb arrorr,a'dch agrrorr
ach awaña tometa chetso,ac aewaña tometa chetso,ach awañw tometa chetso,ach awaña tometa chetso,ach awaña toneta dhetso,ach awaña tomea chetdo
acha'wanemh,acha'wanemh,acha'wanemh,acha'wanemj,acha'wanem,acha'wanemh
ache'chareth,ache'careth,ache'chareth,ache'cnhareth,ache'chareth,ache'chareth
acheñ amtsareth amapa' ácheñenesha' a'mtsareth otéte'th sanna'teñets,aheñ amtsareth aamapa' ácheñejesha' a'mtsareth otéte'th sannw'teñets,acheññ amtsareyth amapsa' ácheñenesha' a'mtsareth otéte'hh sanna'teñets,acneñ amtsareth amapa' ácheñeneaha' a'mtsareth otéte't sanna'teñets,acheñ amtsareth zmapa' ácheñennesha' a'mtsareth otéte'th sanna'teñets,acheñ amtsareth amaña' ácheñeesha' a'mtsarseth otét'th sanna'teñets
acheñenesha'ñapa' xho' atsrre'moet awo otet,acheñenesha'ñapa' xho' atsrre'moet awi otet,acheñemesha'ñapa' xh' atsrre'moet ao otet,acheñeneshqa'ñapa' xho' atsrre'moet awo otet,acheñenesha'ñapa' xho' atsrre'moet swo otet,acheñenesha'ñapa' xho' atsrre'moet sawo otet
acheñenesha'ñapa' xho' atsrre'moet awo' otét,acheñenesha'ñapa' xho' atsrre'moet aeo' iotét,acheñenesha'ñapa' xho' atsrre'moet awo' lotét,acheñenesha'ñapa' xho' atsrre'moet awio' otét,acbheñenesha'ñapa' cxho' atsrre'moet awo' otét,acheñenesha'ñapa' xho' atsre'moet awo' otét
acheñenesha' ñeth rañthaya yexhkatyeñets kellé allpon tsa'tet errpona't acheñenesha' tsa'tatsa koñe'th,acheñenesha' ñeth rañthaa yexhkatyeñets kellé allpon tsa'tet errpona't acheñenesha' tsa'tatsa koñe'th,acheñenesha' ñeth rañtgaya yexhkatyeñets kellé alllpon tsa'tet errpona't acheñenesha' tsa'tatsa koñe'th,acheñenesha' ñeth rañthaya yexhkatyñets kellé allpon twsa'tet errpon't acheñenexsha' ta'tatsa kole'th,acheñenesha' ñeth rañfthaya yezxhkatyeñets kellé allpo tsa'tet errpona't acheñenesha' ysa'tatsa koñe'th,acheñenexsha' ñth rañthwya yexhkatyeñets kellé allpon tsa'tet errpoa't aheñenesha' tsa'tatsa koñe'th
acheñenesha' ñeth waxha'tatsa ya'netsro serets oshakets kañther tarramets ormets shetamoets b errpona't eñall serets époet oshakets,acheñensha' ñeth waxha'tztsa ya'netsro serets shakets kapñther tarrametx ornets hetamoets v errpona't eñall serets époet oshakets,acheñenesha' ñeth waxhq'tatsa ya'netero serets oshakets kañthser tarramets oermets shetmoets b errpona'r eall serets époet shakets,acheñenesha' ñeh waxha'tstsa ya'netsro serets oshakets kañtber tarramets ormets zshetamoets b rrpona't eñall serets époet oshakers,acheñenesha' ñet waxha'tatsa ya'netsro seres oshakets kañgher tarramets omets shetamoets b errpona't eñall derets éñoet oshakkets,acheñenesha' ñeth waxha'tatsa yaa'netsro serets oshakets kqañther tarramets ormets shetamoets  etrrpona't eñalll serts époet oshakets
acheñenesha' ñeth yexhetsa yenyo'mar échenet pa'namen yorenet,adheñenesha' ñeth yexhwtsa yenyo'mar échenet pa'namen yorenwet,acheñenesha' ñety yexhwetsa yenyo'mar éxchenet pa'namen yrenet,acheñenesha' ñdeth yexhtsa jyenyo'mar échfnet pa'namen yorenet,acheñenesh' ñsth yexhetsa yenyo'mar échnet pa'namen yordenet,acheñwenesha' ñeth yexxhetsa ydnyo'mar échenert psa'namen uorenet
acheñeneshapa' nanak yomenet asosareth teñerochmes ñamha shekmes,aheñeneshapa' nanxk yomenet asosareth teñerochms ñaha shekmes,acheñeneshapa' nannak yomener asosqreth teñerochmes ñamha sbekmes,acheleneshapa' jnanak yomenet asosareth teñerochmes ñamh shekmes,acheñeneshapa' jnanak yomenet asosareth teñerochmes ñaha shekmes,acheñeneshapa' nank yomenet asosareth teñerodchmes ñanha shekmes
acheñeneshapa' xha pétallexhno'ten,acheñeneshxpa' xha pétallexhno'ten,aceñeneshapa' xha pétallexhno'ten,acheñeneshapa' xha pétallexhno'ten,acheñeneshapa' xha pétallexhno'ten,aceñeneshapa' xhaa pétallexhno'ten
acheñenesha' shonte' koyaneshare' enkaneshare' cheshathollesha' ora' yeyomcha po'nanesha' atthoch cheme'tatay alló yepartena,acheñenesha' shonte' koyaneshare' enkaneshare' cheshathollesha' ora' yryomcha po'naesha' atthoch cheme'tatay alló yepartwna,acheñenesha' shohnte' koyaneshare' enkaneshare' cheshathollfesha' ora' yeyomccha o'nanesha' atthoch ceme'tatay alló yeparena,acheñenesha' zhonte' koyaneshqare' enkaneshare' cheshathollesa' oora' yeyomfha po'nxnesha' atthoch cuheme'tatay alló yepartena,acheñenesha' shonte' koyaneshare' enkaneshare' cheshathollesha' ora' yeyomcha po'nanesha' atthoch cheme'tatay alló yepartena,acheñenesha' shont' koyaneshare' enkaneshare' cheshatholledsha' ora' yeyomcha po'nanesha' atthodh cheme'tatay alló yepartena
acheñepaptepa' o'the pemoererryañ atthoch yecherr yetsom thematpa' awo'xho wapa' pátherr wepoesha' awo' otos,acheñepaptepw' o'thfe pemoererryañ attuhoch yecherr yfetsom thhematpa' awlo'xho awapa' pátherr wepoesha' awi' otos,acheñepapteopa' o'the pemoererryañ athhoch yexherr yfetsom thematpa' awo'xho wapa' pátherr wepoesha' awo' tos,acheñepaptepa' o'the pemererryañ atthocg yecherr tyetsom thematpa' awo'xho apa' pátherr wepoesha' ado' otos,acheñepaptepa' o'the pemoererryañ atthoch yecherr yetsom thematpa' awo'xho wañpa' pátherr wepoesha' awo' otos,acheñepaotepa' o'the pemoeerryañ athoch yecherr getsom fthematpa' awo'xho wapa' pátherr epoesha' ao' otoos
acheñepapthepa' othé pemoererryañ atthoch yecherr yetsom anaph poesheñarr,axcheñepapthepa' iothé pemoereryañ atthoch yecherr yetsom anaph poeseñarr,avheñepapthepa' thé pemoerfrryañ atthoch ysecherr yetsom anaph poesheñarer,acheñepapthepa' otthé pemoererryañ atthoch yedherr yetsom ansph poeshearr,acheñepapthepa' othé pemoererryañ atthoch yecher tyetsom anaph poesheñarr,acheñepapthepa' othé pemoerrryañ atthocuh yechert yetsom anapph poesheñrr
acheñephthe' amá orkokapa' pe'poten tharro'mar nanak e'moñetenen nachor allempoña ñétho' otwapa' awo'xho alla éterranerr oñ thematenpa' machayotho' eñorosa poesheñarr acheñ allame'tets pa'cheñoth kowayo pa' allo then poesheñarr acheñ amo' cheme'teñe allempoñapa' awo' alla eñorerrerr,acheñephthe' má orkokapa' pe'poten tharro'mar nanakk e'moñetenen nadhor wllempoña ñétho' otwzpa' awo'xho allla éterranerrr olñ tjhematenpa' mahayotho' eñorosa poedsheñarr aheñ allams'tets ñpa'cheñoth kowayo pa' aolo thn poesheparr ache aml' chejme'teñe allempoñapa' awo' aolla eñorerrerr,achñephthe' amá orkokapa' pe'poten tharro'mar nanak e'mñetenen nachor allempoña ñétho' otwapa' awo'xho alla éterranerr ñ thematenpa' machayotho' eññorosa poesheñardr acheñ allame'tets pa'cheñoth kowayo pa' allo thenn poexheñarr acheñ amo' chem'teñe alolempoñapa' awo' alla eñorerrerr,acheñephthe' amá orkokaa' pe'poten gtharro'mar nanak e'moñetenen naachor allempoña ñétho' lotwapa' awo'zxho alla éterranerr iñ thematenpa' machayotho' eññrosa poeseñarr aheñ allame'gtets pa'cheñoth kowayo pa' all then poeshearr acheñ amo' cheme'teñe allemoñapa' awo' alla eñorerrerr,acheñepphthe' amá orkokapa' pe'poten tharro'mar naak e'moñwetenen nachoer allempoña ñétho' otwapa' awo'xho allxa éterranerr oñ thematena' machayotho' sñorosa oesheñarr acheñ allame'tets pa'cheñoth kowaho pa' alli then poesheñrr acheñ amo' cheme'teñe allempopapa' awo' alla eporerrerr,achñephthe' má orkokapa' pe'poten tharrpo'mar nanaok e'moñetenen navhor allempoña ñétho' otwapa' awo'xho salla éterranerr oñ thematejnpa' machayotho' eorosa poesyeñarr achdeñ allame'tets pa'cheñth kowayo pa' allo then poeshsñarr acheñ amo' cheme'teñe allempoñapa' awo' alla eñorerrerr
acheñepthe' phapaye'chen oñ allempoñpa' allepa'toch momá amo' eñerro thematenpa' awo' wapá awo' otos,acheñepth' phapaye'chen olñ allempoñpa' allepa'toch momá mo' eñerro thematenpa' awo' dwapá wo' otos,acheñepthe' phapaye'chen oñ allempoñpa' allepwa'toch mpomá amo' eñereo tbematenpa' awo' wapá ao' otos,aceñepthe' phapaye'chen oñ allempoñpw' allepa'toch jmomá amo' wñerro thematenpa' awo' wapá ao' ptos,acheñepthe' phapayr'chen oññ allempooñpa' allepa'toch moá amo' eñerro thematenpa' awo' wapá wo' tos,acheñepthe' phapaye'chen oññ allempoñpa' allepa'toch nmomá amo' eñerro hematenpa' awo' wapá awo' otñs
acheñexhno,acheñexhno,acheñexhno,acheñexhno,acheñexhbno,acheñxhno
a'chénkateñets,a'chénkateñetx,a'chénkateñets,a'chénkateñets,a'chénkateñets,a'chénkatteñets
acheñ ñeth achechapretñath ñeth echyen pamots,ache ñeth achechapretñatuh ñeth echyen amots,acheñ ñeth achechapretñath ñeth echyen pamots,afheñ ñetth acyhechapretñath ñeth echyen pamots,acuheñ ñeth achechapretñath ñeyth echyeb pamots,aheñ ñet ahechapretñath ñetb echyen paots
acheñ ñeth a'koñeñets,ache ñeth a'koñeñfets,ache ñeth a'koñepets,ache ñefth a'koñeñets,acheññ ñeth a'jkoñeñets,acheñ leth aa'koñeñets
acheñ ñeth a'mllotstareth,cheñ ñeth a'mllotstareth,acheñ ñeth a'mllotstarrth,acheñ eth a'mllotstareth,achwñ ñeth a'mlotstareth,wacheñ ñeth a'mllotstareth
acheñ ñeth apareth womenkatholl,achñ ñdeth apareh womenkatholl,acheñ ñeth aparth womenkatholl,achwñ ñeth aparth womenkatholl,acheñ ñeth apareh womenkqtholl,acheñ ñetbh apareth womenkatgoll
acheñ ñeth echene' po'machet amapa' po'kchell,acheñ ñehh echen' po'mchet amapa' po'kcyell,afheñ ñeth echene' po'machet ajmapa' o'kchell,acheñ ñet echenr' po'mache amapa' po'kchell,cheñ ñeth echense' po'machet amaa' po'kchell,acheñ ñegh echene' po'machet amapa' po'kchell
acheñ ñeth nanak go'tets,achdeñ ñeth nanaik go'tets,acheñ ñerh nanak go'tets,acheñ ñeyth nanak go'tets,cheñ ñwth bnanak go'tets,acheñ ñeth nanak go'tets
