Input,Output
abhchanneñech pokte' amá añe't a'methen atthoch nare'tacheten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ch,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhxhanneñets pokte' amá añe't a'methen atthoxh nare'tatseten xheshanesha' añe't xhore'ten atthoxh apxha xheshanesha' a'metheney o'xh apxha'yesa xheshanesha' atthoxh yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't chore'ten atthoch apcha cheshanesha' a'metheney o'ch apcha'yesa cheshanesha' atthoch yenpoet pamo'ts,abhchanneñets pokte' amá añe't a'methen atthoch nare'tatseten cheshanesha' añe't xhore'ten atthoch apxha cheshanesha' a'metheney o'ch apxha'yesa cheshanesha' atthoch yenpoet pamo'ts
abhchanneñets se'tsutsa sesu'cheñ pa'phllerrmu sumñe' all se'sechateñ yexhateñets yénare'ten narmetsuxhnu ya'mru phukwa' atma'ntátareth alluthpa' u'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phocwa' atma'ntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'pellerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro peokwa' atma'ntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátaret allotta' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllerrrrmo somñe' all se'sechateñ yexhateñets yérrare'tenrrnarmetsoxhno rra'mro phokwa' atma'rrtátareth allothpa' o'crrr rreserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllermo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abechanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ llexhateñetsllyénare'ten narmetsoxhnll ya'mro phokwa' atma'ntátareth allothpa' o'llh yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokhua' atma'ntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phyerrmo somñe' alyse'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allyhpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñech se'chocha seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñech yénare'ten narmechoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhxhanneñets se'tsotsa seso'xheñ pa'phllerrmo somñe' all se'sexhateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'xh yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yechateñets yénare'ten narmetsochno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't,abhchanneñets se'tsotsa seso'cheñ pa'phllerrmo somñe' all se'sechateñ yexhateñets yénare'ten narmetsoxhno ya'mro phokwa' atma'ntátareth allothpa' o'ch yeserrpare't
abhchateñetspa' échenan kanxherr putaker,abhchateñetspa' échenan kanxherr potaker
abhchateñetspa' échenan canxherr potacer,abhchateñetspa' échenan kanxherr potaker
abhchateñetspa' échenan kanxherrrr potarrer,abhchateñetspa' échenan kanxherr potaker
abhchateñetspa' échenan kanxher potaker,abhchateñetspa' échenan kanxherr potaker
abechateñetspa' échenan kanxherr potaker,abhchateñetspa' échenan kanxherr potaker
abhchateñechpa' échenan kanxherr potaker,abhchateñetspa' échenan kanxherr potaker
abhxhateñetspa' éxhenan kanxherr potaker,abhchateñetspa' échenan kanxherr potaker
abhchateñetspa' échenan kancherr potaker,abhchateñetspa' échenan kanxherr potaker
abrell temenk errpuna't yeth échen árrurr abrell,abrell temenk errpona't yeth échen árrorr abrell
abrell temenqu errpona't yeth échen árrorr abrell,abrell temenk errpona't yeth échen árrorr abrell
abrell temenk errpona't yet échen árrorr abrell,abrell temenk errpona't yeth échen árrorr abrell
abrrell temenk rrrrrpona't yeth écherrrrrrárrrorr abrell,abrell temenk errpona't yeth échen árrorr abrell
abrell temenk erpona't yeth échen árrrrrbrell,abrell temenk errpona't yeth échen árrorr abrell
abrell temenk errpona't lleth échen árrorr abrell,abrell temenk errpona't yeth échen árrorr abrell
abrey temenk errpona't yeth échen árrorr abrely,abrell temenk errpona't yeth échen árrorr abrell
abrell temenk errpona't yeth éxhen árrorr abrell,abrell temenk errpona't yeth échen árrorr abrell
ach akrenan pa'namen pupuer ñethcha' nare't pamru epuet pakñether mekell ñamha puséñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
ach aqurenan pa'namen popoer ñethcha' nare't pamro epoet pqukñether quekell ñamha poséñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
ach akrenan pa'namen popoer ñetcha' nare't pamro epoet pakñettr mekell ñamha poséñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñama poséñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
ach akrrenan pa'namen poporrr ñethcha' rrare't rramro epoet pakñrrther mekell ñamha posrrñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekey ñamha poséñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
axh akrenan pa'namen popoer ñethxha' nare't pamro epoet pakñether mekell ñamha poséñ bernata,ach akrenan pa'namen popoer ñethcha' nare't pamro epoet pakñether mekell ñamha poséñ bernata
ach akrenan pupuer ñethcha' nare't,ach akrenan popoer ñethcha' nare't
ach acrenan popoer ñethcha' nare't,ach akrenan popoer ñethcha' nare't
ach akrenan popoer ñechcha' nare't,ach akrenan popoer ñethcha' nare't
ach akrrenan poporrr ñethcha' rrare't,ach akrenan popoer ñethcha' nare't
axh akrenan popoer ñethxha' nare't,ach akrenan popoer ñethcha' nare't
achallu muenen atthuña wasutet kuwen rrumuet shunte axhunu berrutpanmasu,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallo moenen atthoña wasotet quowen rromoet shonte axhono berrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallo moenen atchoña wasotet kowen rromoet shonte axhono berrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallo moenen atthoña wasotet kowen rrrromoet shonte axhono rrrerrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallo moenen atthoña wasotet kowen romoet shonte axhono berrtpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallo moenen atthoña huasotet khuwen rromoet shonte axhono berrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achayo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
axhallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallo moenen atthoña wasotet kowen rromoet shonte achono berrotpanmaso,achallo moenen atthoña wasotet kowen rromoet shonte axhono berrotpanmaso
achallu u'ch neserrpare't patherr serrparñats ñeth suchetsa achallu,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
achallo o'ch neserrpare't paterr serrparñats ñettsochetsa achallo,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
achallo o'ch neserrrrrrare't parrrherrrrrrserrparñats ñeth sochetsa achallo,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
achallo o'ch neserpare't patherrserrrrñats ñeth sochetsa achallo,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
achayo o'ch neserrpare't patherr serrparñats ñeth sochetsa achaly,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
achallo o'ch neserrpare't patherr serrparñach ñeth sochecha achallo,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
axhallo o'xh neserrpare't patherr serrparñats ñeth soxhetsa axhallo,achallo o'ch neserrpare't patherr serrparñats ñeth sochetsa achallo
ach alluth uch awu emutenana pamunerr,ach alloth och awo emotenana pamonerr
ach alloch och awo emotenana pamonerr,ach alloth och awo emotenana pamonerr
ach alloth och awo emotenana pamonerrrr,ach alloth och awo emotenana pamonerr
ach alloth och awo emotenana pamoner,ach alloth och awo emotenana pamonerr
ach alloth och ahuo emotenana pamonerr,ach alloth och awo emotenana pamonerr
ach ayoth och awo emotenana pamonerr,ach alloth och awo emotenana pamonerr
axh alloth oxh awo emotenana pamonerr,ach alloth och awo emotenana pamonerr
achamatur wepuesha' nanaku'ch yumenana u'ch a'shuran shuñker ñapa' xhu'ch kuwachu'tyenan achamach all xhen achama' allempuñapa' awu'ch awu'chxhu awa'muen u'ch a'shureña anenanuch pushak atarr alluch esha'tenan shuñker awu'ch xhap allpa' awu'chxhu e'nyesan tsach ñéth e'ñe allame'tets chupuets achama'chu alluthpa' awu'xhu a'tap awu'ch xhap enupa' awu'chxhu a'kuyan tsach atthuch e'ñe épchuta alluthpa' awu'chxhu amátan pamureph achamach puetakru allempuñapa' awu'chxhu wanke' themerrurexhu ñéthuchña kutha' atthuch mutasa tharraña xhu'ch anenan pamureph allu'ch amátenan achamach puetaker añ wepuesha'ñapa' atthekmu'ch pena ñapa' ñéthuch awu'xhu anenanerr pushaktall atarr awu'xhu átapwenerr atthekma pena allempuñapa' awuka wankawanman pamureppa' awu'xhu mechwenanerr achama' xhu' nanak kushena sumesare'tena awu'ka e'nmena atsnepa' xhu' enkuyanman tsachechur all amátenan pamureph awu'xhu rruphanum ñañapa' awu' u't,achamator wepoesha' nanako'ch yomenana o'ch a'shoran shoñker ñapa' xho'ch kowacho'tyenan achamach all xhen achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch poshak atarr alloch esha'tenan shoñker awo'ch xhap allpa' awo'chxho e'nyesan tsach ñéth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awo'chxho a'koyan tsach atthoch e'ñe épchota allothpa' awo'chxho amátan pamoreph achamach poetakro allempoñapa' awo'chxho wanke' themerrorexho ñéthochña kotha' atthoch motasa tharraña xho'ch anenan pamoreph allo'ch amátenan achamach poetaker añ wepoesha'ñapa' atthekmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshaktall atarr awo'xho átapwenerr atthekma pena allempoñapa' awoka wankawanman pamoreppa' awo'xho mechwenanerr achama' xho' nanak koshena somesare'tena awo'ka e'nmena atsnepa' xho' enkoyanman tsachechor all amátenan pamoreph awo'xho rrophanom ñañapa' awo' o't
achamator wepoesha' nanaco'ch yomenana o'ch a'shoran shoñcer ñapa' xho'ch cowacho'tyenan achamach all xhen achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch poshac atarr alloch esha'tenan shoñcer awo'ch xhap allpa' awo'chxho e'nyesan tsach ñéth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awo'chxho a'coyan tsach atthoch e'ñe épchota allothpa' awo'chxho amátan pamoreph achamach poetacro allempoñapa' awo'chxho wance' themerrorexho ñéthochña cotha' atthoch motasa tharraña xho'ch anenan pamoreph allo'ch amátenan achamach poetacer añ wepoesha'ñapa' atthecmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshactall atarr awo'xho átapwenerr atthecma pena allempoñapa' awoca wancawanman pamoreppa' awo'xho mechwenanerr achama' xho' nanac coshena somesare'tena awo'ca e'nmena atsnepa' xho' encoyanman tsachechor all amátenan pamoreph awo'xho rrophanom ñañapa' awo' o't,achamator wepoesha' nanako'ch yomenana o'ch a'shoran shoñker ñapa' xho'ch kowacho'tyenan achamach all xhen achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch poshak atarr alloch esha'tenan shoñker awo'ch xhap allpa' awo'chxho e'nyesan tsach ñéth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awo'chxho a'koyan tsach atthoch e'ñe épchota allothpa' awo'chxho amátan pamoreph achamach poetakro allempoñapa' awo'chxho wanke' themerrorexho ñéthochña kotha' atthoch motasa tharraña xho'ch anenan pamoreph allo'ch amátenan achamach poetaker añ wepoesha'ñapa' atthekmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshaktall atarr awo'xho átapwenerr atthekma pena allempoñapa' awoka wankawanman pamoreppa' awo'xho mechwenanerr achama' xho' nanak koshena somesare'tena awo'ka e'nmena atsnepa' xho' enkoyanman tsachechor all amátenan pamoreph awo'xho rrophanom ñañapa' awo' o't
achamator wepoesha' nanako'ch yomenana o'ch a'shoran shoñker ñapa' xho'ch kowacho'tyenan achamach all xhen achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch poshak atarr alloch esha'tenan shoñker awo'ch xhap allpa' awo'chxho e'nyesan tsach ñéth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awo'chxho a'koyan tsach atthoch e'ñe épchota allothpa' awo'chxho amátan pamorep achamach poetakro allempoñapa' awo'chxho wanke' themerrorexho ñéthochña kotha' atthoch motasa tharraña xho'ch anenan pamoreppallo'ch amátenan achamach poetaker añ wepoesha'ñapa' atthekmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshaktall atarr awo'xho átapwenerr atthekma pena allempoñapa' awoka wankawanman pamoreppa' awo'xho mechwenanerr achama' xho' nanak koshena somesare'tena awo'ka e'nmena atsnepa' xho' enkoyanman tsachechor all amátenan pamorephpwo'xho rrophapm ñañapa' awo' o't,achamator wepoesha' nanako'ch yomenana o'ch a'shoran shoñker ñapa' xho'ch kowacho'tyenan achamach all xhen achama' allempoñapa' awo'ch awo'chxho awa'moen o'ch a'shoreña anenanoch poshak atarr alloch esha'tenan shoñker awo'ch xhap allpa' awo'chxho e'nyesan tsach ñéth e'ñe allame'tets chopoets achama'cho allothpa' awo'xho a'tap awo'ch xhap enopa' awo'chxho a'koyan tsach atthoch e'ñe épchota allothpa' awo'chxho amátan pamoreph achamach poetakro allempoñapa' awo'chxho wanke' themerrorexho ñéthochña kotha' atthoch motasa tharraña xho'ch anenan pamoreph allo'ch amátenan achamach poetaker añ wepoesha'ñapa' atthekmo'ch pena ñapa' ñéthoch awo'xho anenanerr poshaktall atarr awo'xho átapwenerr atthekma pena allempoñapa' awoka wankawanman pamoreppa' awo'xho mechwenanerr achama' xho' nanak koshena somesare'tena awo'ka e'nmena atsnepa' xho' enkoyanman tsachechor all amátenan pamoreph awo'xho rrophanom ñañapa' awo' o't
