Input,Output
kchina rchiklu pagixantu nretini,china chiklu pagixanu retini
2china gosru pogistsi ricinitka ywale rigkakleta,china gogru gogistsi rixinitka wale rugkakleta
chiwna gogwu pgogistsi rixinintka lale mugkakleta,china gogru gogistsi rixinitka wale rugkakleta
crina wogru gognistsi rixingitka sale srugkakleta,china gogru gogistsi rixinitka wale rugkakleta
chrina xgogru wgogistsi risinitka wajle rugnakleta,china gogru gogistsi rixinitka wale rugkakleta
cina xogru gogistsa rixigitka wala rugkaklerta,china gogru gogistsi rixinitka wale rugkakleta
chixa moa salwaltachine line prugkakleta,china mosa salwatachine yine rugkakleta
crina motsa psalwatachine ine rurkakleta,china mosa salwatachine yine rugkakleta
chila mosma saywatachine yire rkugkakleta,china mosa salwatachine yine rugkakleta
chitna momsa salwatachina yige rukakleta,china mosa salwatachine yine rugkakleta
pchina mosla salyatachine yixne rugkajleta,china mosa salwatachine yine rugkakleta
chijna shikxaleta gaxagripa rkumrerekamtinitka,china shikaleta gaxawripa rumrerekamtinitka
chipna shikarleta gaxawripsa runrerekamtinitka,china shikaleta gaxawripa rumrerekamtinitka
chiyna shekaleta gaxawipa ruxrerekamtinitka,china shikaleta gaxawripa rumrerekamtinitka
pchina shikxaleta xaxawripa rumrerekamtiritka,china shikaleta gaxawripa rumrerekamtinitka
chilna shikeleta ganxawripa cumrerekamtinitka,china shikaleta gaxawripa rumrerekamtinitka
2china shikalemta jiolu wanektu pyixika kalu lsana waklapu teca,china shikaleta jixolu waneklu pyoxika tkalu sana walapu teta
chinna shikaletma jnixolu wanemlu pyopxika tlalu suna galapu pteta,china shikaleta jixolu waneklu pyoxika tkalu sana walapu teta
pchina shikaneta hixolu wyaneklu yoxika mkalu sanpa walsapu tetna,china shikaleta jixolu waneklu pyoxika tkalu sana walapu teta
2china shixkaleta jixoru wraneklu pyoxpika tkalyu psana wralapu tuta,china shikaleta jixolu waneklu pyoxika tkalu sana walapu teta
ychina shikateta jixoku wanekmu pyoxiska skalu sanwa kalapu tea,china shikaleta jixolu waneklu pyoxika tkalu sana walapu teta
ychina shikalata koyino gowmuka gintachine yini nachichachije rugkaxleta,china shikaleta koyano gowuka ginyachine yine nachichachine rugkakleta
mchina shikareta koypano powuka grinyachine nyine nashichachine rutkakleta,china shikaleta koyano gowuka ginyachine yine nachichachine rugkakleta
chinra shikapleta kowyano gowukya lginyachine yiwe nachichachene rugkakweta,china shikaleta koyano gowuka ginyachine yine nachichachine rugkakleta
chini shikalyeta koypano gowruka ginyechine yline naychichachine rugkaxleta,china shikaleta koyano gowuka ginyachine yine nachichachine rugkakleta
chini shikaxleta koxyano goweka gisyachine yime nichichachine rugkakteta,china shikaleta koyano gowuka ginyachine yine nachichachine rugkakleta
chirna shikaljeta msotkoko ktugkaklewata cuknonjerupa,china shikaleta motkoko tugkaklewata puknonjerupa
chinsa shikalekta motkojko tugkaklewatra puknonjeruwpa,china shikaleta motkoko tugkaklewata puknonjerupa
chisa shikaceta motkiko tagkaklewata puknonjeruspa,china shikaleta motkoko tugkaklewata puknonjerupa
chinra shgikaleta msotkoko tugkaklekwata puknonyerupa,china shikaleta motkoko tugkaklewata puknonjerupa
chika shikpaleta motkosko tugkiklewata pruknonjerupa,china shikaleta motkoko tugkaklewata puknonjerupa
chiga shikaletla pawaskiwu gatjignunrotachri rugkakluta,china shikaleta pawaskiwa ganjignunrotachri rugkakleta
chpina shikayeta pawasniwa ganyignunrotachri rugkatkleta,china shikaleta pawaskiwa ganjignunrotachri rugkakleta
chixa shiknaleta pagwaskiwa ganjignunrotachpi rutkakleta,china shikaleta pawaskiwa ganjignunrotachri rugkakleta
lchina shikalweta lpawaskiwa ganjignunrotachpi rigkakleta,china shikaleta pawaskiwa ganjignunrotachri rugkakleta
chica shkikaleta puwaskiwa gyanjignunrotachri rugkekleta,china shikaleta pawaskiwa ganjignunrotachri rugkakleta
wchina shikaletma pushre pa trumjikini,china shikaleta pushro wa rumjikini
chixna shikaleja wpushro swa rumxikini,china shikaleta pushro wa rumjikini
chona mshikaleta pushmo sa tumjikini,china shikaleta pushro wa rumjikini
chipa shikalewta tpushro xwa ruljikini,china shikaleta pushro wa rumjikini
chimna shitaleta pushgo nwa rumjinini,china shikaleta pushro wa rumjikini
chijna shikajeta pwachwi gini tepukimni,china shikaleta pwachri gina tepukini
chona shikalerta nwachri gixna tepukiwni,china shikaleta pwachri gina tepukini
lchina shixaleta wachri cina teptukini,china shikaleta pwachri gina tepukini
chinta tshikaleta pwachni ginga tepukrini,china shikaleta pwachri gina tepukini
hina shikaletka swachri lina tepukyini,china shikaleta pwachri gina tepukini
chisa shikeleta shriru kgamshiro gtimatikolupa,china shikaleta shkiru kamshiro gimatikolupa
kchina shipaleta skiru komshiro gimatikolnupa,china shikaleta shkiru kamshiro gimatikolupa
wchina shikalepta shkira kamchiro gimatikolura,china shikaleta shkiru kamshiro gimatikolupa
chpina shipaleta shkilu kamshiryo jgimatikolupa,china shikaleta shkiru kamshiro gimatikolupa
chijna shakaleta shgiru kyamshiro gimatikorlupa,china shikaleta shkiru kamshiro gimatikolupa
chiga shisaleta tkagwa alapu tegini,china shikaleta tlagwa walapu tetini
chigna skikaleta tlugwa waslapu tmetini,china shikaleta tlagwa walapu tetini
shina shikalela tlaswa walepu tetiyi,china shikaleta tlagwa walapu tetini
chixna shikaletka klagwa walawpu tsetini,china shikaleta tlagwa walapu tetini
tchina shikameta plagwa walau teini,china shikaleta tlagwa walapu tetini
kchingimanata yanshiniyka nuwatyawaka gra ta texoygimlu tokancho xane jgima chipa,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokanchi wane gima china
chinginanata yanshiwika nunatyawkaka gna ywa tenoygimru tokaknchi walne gimta chiga,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokanchi wane gima china
chingimanatsa yanshinisa nunatyiwaka gra wya tyenoygimlu tokaychi ware ginma chino,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokanchi wane gima china
chengimanata yanshiwika nunatyawajka gi swa tenoxgimlu tokyanchi wanre jima schina,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokanchi wane gima china
shingimanata yanshitika nunalyawaka yga wi tkenoygimlu nokanchi watne gama chixa,chingimanata yanshinika nunatyawaka ga wa tenoygimlu tokanchi wane gima china
chingimantanna,chingimatanna
chingimatwanna,chingimatanna
chinginatanna,chingimatanna
chingijmatanna,chingimatanna
chinximatanna,chingimatanna
kchingimatanruna,chingimatanruna
chingimatanpuna,chingimatanruna
chingimatansuna,chingimatanruna
chingimasanruna,chingimatanruna
chpingimatanruna,chingimatanruna
chingimamlo wawa wpa shwamkaylo,chingimatlo wala wa shwamkalo
mchingimatlo walxa rwa shwapkalo,chingimatlo wala wa shwamkalo
chingematlo wawla ca shwamkajo,chingimatlo wala wa shwamkalo
cingimatlo wnala a shtamkalo,chingimatlo wala wa shwamkalo
nchingimatlo pwala ya shtamkalo,chingimatlo wala wa shwamkalo
chimgimatlu klajna wta ksure,chingimatlu klana wa ksuru
kchingimatlu klena wu ksusru,chingimatlu klana wa ksuru
chinpimatlu klanma xwa suru,chingimatlu klana wa ksuru
tchingimatlu klaca xwa nsuru,chingimatlu klana wa ksuru
chingijmatlu klapna pa knuru,chingimatlu klana wa ksuru
chixgimatna chichinta rkanikatka giyagamni waneklulnangima rushinikgiwakatru,chingimatna chichikta ranikatka giyagimni waneklunangima rushinikgiwakatlu
chingematna chichikga ranikamka giyajimni wakeklunangima rushinikgawakatlu,chingimatna chichikta ranikatka giyagimni waneklunangima rushinikgiwakatlu
chipgimatna chechikta anikatka giyakgimni waneklunangica rsushinikgiwakatlu,chingimatna chichikta ranikatka giyagimni waneklunangima rushinikgiwakatlu
chingimarna schichikta ranirkatka giyagirni waneklunakgima rushinikgiwakutlu,chingimatna chichikta ranikatka giyagimni waneklunangima rushinikgiwakatlu
chingitmatna chichilta ranikayka giyayimni wagneklunangima rushinikgiwaskatlu,chingimatna chichikta ranikatka giyagimni waneklunangima rushinikgiwakatlu
chitgimatna mrturone,chingimatna mturone
schingimatna mturonte,chingimatna mturone
chingimatka jturone,chingimatna mturone
chingiwatna mterone,chingimatna mturone
chingijmatna mlurone,chingimatna mturone
chingimatne ca mtuhune,chingimatna wa mturune
chongimatna xwa mtunune,chingimatna wa mturune
chingimatnu we mturkune,chingimatna wa mturune
chingiwmatna gwa mturuge,chingimatna wa mturune
chitgimatna twa mturuwne,chingimatna wa mturune
chinixri wguynumsakakanu kuneru xeta tse yagru yekiya,chiniri wuynumsakakanu kluneru peta tye yaglu yegiya
chiniyi wutnumsakakanu kltuneru neta xye ynaglu tyegiya,chiniri wuynumsakakanu kluneru peta tye yaglu yegiya
chipiri ruynumsakakanu klunecu pekta tke yoglu yewgiya,chiniri wuynumsakakanu kluneru peta tye yaglu yegiya
chinuri wuynumsakrakanu kluneju perta ye nyaglu yewgiya,chiniri wuynumsakakanu kluneru peta tye yaglu yegiya
mchiniri wuynumsakakasnu kluyeru yeta tme yaylu yegiyga,chiniri wuynumsakakanu kluneru peta tye yaglu yegiya
chninna yakolna,chinna yakokna
chikna yakowna,chinna yakokna
chikna yakpokna,chinna yakokna
chenna yakokra,chinna yakokna
chimna yamkokna,chinna yakokna
tchinrusha songa pkagrutanu yinumwakyapa yeneklu,chinrusha yonga pkamrutanu yinuwakyapa yenewlu
chinnrusha wonga skamrutanu yinuwakyapo yenewlo,chinrusha yonga pkamrutanu yinuwakyapa yenewlu
2chinrusha yonxa pkatrutanu yiruwakyapa cenewlu,chinrusha yonga pkamrutanu yinuwakyapa yenewlu
chinrushka wonga pamrutanu yiniwakyapa yekewlu,chinrusha yonga pkamrutanu yinuwakyapa yenewlu
chinrosha jonga pkamrutpanu yinwuwakyapa yanewlu,chinrusha yonga pkamrutanu yinuwakyapa yenewlu
