,sentence,error_0,error_1,error_2,error_3,error_4
10,aakoña ininti ibetsike ibanko yamenake tsika yantero ijataki otsapiaki parinini imonkaratakiro ibetsikaki inchakityonkini tsikarika okaratsira ininti omonkaratya ibanko,aakoña ininti ibetsike banko yamenake tsika yantero ijatak otsapiaki parinini imonkarzatakiro betsikaki inchakityonkini tsikarijka okaratsira ininti omonkaratya ibnko,zakoña innti ibtsike ibanko yamenake tasika yantwero ijtaki otwsapiaki parinini imonkarztakiro ibetsikak inchakityonkin tsikarika okarzatsira ininti omonkaratyz ibanko,aamoña ininti ibetsike inbanko yamenake tsika yajntero ijataki ñtsapiaki parinjni imonkaratakiro ibetsikxaki inchakityonkini tsikarika okaratsira inintki omonkaratya ibanko,aakoña lininti ibetsike ibxanko yamenake tsioka yanrero ijahaki otsapiaki parinini imonkaratakiro ibetsikaki inchakityonkini tsikarikqa okaratsira inunti omonkaratya ibanko,aakoña ininti igbetsike ibanko yamenake tsoika yantero ijatak ohtsapiaki parinini imonkaratakiro ibetzikaki inchakityonkini tsikarika okaratsira inint omonkaratya ibabko
11,aamabentakotantyarori inchatopaye jero antami,aamabentakotantyarori inchatipaye jero antami,aamabentakotantyaroei inchatopayde jdero qantami,aamabentakotantyarori inchatopatye jero anhtami,aamabentakotantyaror inchatopaye jero antanmi,samabentakotantyarori inchatopaye jfero antami
12,aanakerika okapaye ari yasankabake ashitarori antami eiro yoimintsarobai,aanakerika oapaye ari yasankabakre ashitaerori abtami eiro yoimintsarobai,aanakerika okapaye ark yasabkabake ashiarori antai eiro yoimintsaroai,aanakerika pkapaye ari yasanmabake ashitzrori anami siro uoimintsarobai,aanakerika okapaye ari yasamkabake ashitaori aantami eiro yoimintsarobai,aanakerika okapay ari yasankabake ashitarori antam eir yoimintsarobai
13,aanakeri obankoki otiakeri kaniri irosati ikemantaka senamoti,aanakeri obankoki oiakeri kaniri irlosati ikemantak senmoti,qanakeri obankkoki otiakeru kaniei irosati ikemantaka senamoti,aanakeri obankoki otiakeri kaniri rosati ikemantaka senamoti,aanakeri obankoki otiakeri kamniri irosati ikemantaka senamoti,azanakeri obankoku otiakeri kamniri irosati ikemabtaka senamoti
14,aanakero obankoki oinijakero obetsikane kemperi kitsarentsi tsarato chobinarontsi,aanakero obankok oinijaketo obetsikane kemperi kitsarentsi tsarao chobinarontsi,aanakrero obankoki oinijakero obetsikane kemperj kitsrentsi twarato chobinarontsi,anakero bankoki oinijakero obetsikanre kemeri kitsarentesi tsarato chobinatontsi,aanakerño obankoki oinijakero obtsikane kemperi kitsarentsi tsarato chobinarontsi,aanakero obankoki oinijakerlo obetsikane kemperi kitsarentsi tsarato chovinarontsi
15,aana oñanatapakeri tyonkitsiki okoakotakeri iroinijayero osheki tapetsa,aana oñanatapakeri tyonkitsiki okoakotakeri iroinijayego sheki tapets,aanwa oñanatapakeri tyonkitwiki okoakotakeri iroinijayeo sheki tapetsa,aana oñanatapakeri tyonkittsiki okoakotakeri irñinijayero sheki tapetsa,aana oñanatapakeri tyonmitsiki okoakotakeri iroinjayero osgeki tapetsa,aabna oñanatapakeri tyonkitsiki okoakotakeri iroinijayero osheki tapesa
16,aani tsika ipajetari katiyainchari nijaatsapike,aani htsika ipajetari katiyainchari nijaatsapike,aani rtsika ipajehtari katiyaincari nijaatsapike,ani tsika ioajetari katjyainchari nijaatsapike,aani tsikwa ipajetari katiyainchaari nijaatsapike,aani tsikaa ioajetari katiyinchari nijaatsapike
17,aantyarori ichekakoitiro,aantyaror ichekakoitiro,aantarori ichekakoitiro,aabntyarori ichekakolitiro,aantyarori ichekqkoitiro,aantyarori ichekakoitiro
18,aantyarori oshipee tsipanapaye ontimatye añaanashiritero asankaniki akantero amitakotaita ojokiroota kariperori ojokitakakairi mantsiyatakakairi impoña ajeriayetakero antsikiroini okarati akobayetiri,aantyarori shipee tsipanapaye ontimatye añaanashiritero asankaniki akanteeo amitakotaita ojokiroota kariperori ojokitakakairi mantsiyatakakari impola ajerliayetakero antsikiroini okaratui akobayetiri,aantyarori koshipee tsipanañpaye ontimatye añaanashiritero asankaniki akantero amihakotaita ojokiroota kariperori ojokitakakairi mantsiyatakakairi impoña aujeriayetakero antsikiroini okagrati akobayetiri,aantyarñri oshipee tsianapaye ontimstye añaanashigritero asankahiki akantero amitakotaita ojokirootsa kariperorli ojokitakakair mantsiyartakakairi impoñwa ajeriayetakero antsikiroini kokarati akobayetiri,aantyarori ñshipee tsipanapaje ontimatye sñaanashiritero asankaniki akantero amtakotaita ojokkiroota ariperori ojokitakakairi mantsiyatakakairi impoña ajeriayetakero antsikiroini oarati akobayetiri,aantyarori oashipee tsipanapaye ontimatye añaaashiritero asankanijki akantero amitakotaita ojokidoota kariperori ojokitakakairi mantsyatakakairi ikpoña ajeriayetaakero antsikiroini oarati akobayetiri
19,aantyarori tapetsa ariorika ajate aye tapetsa eiro añabetitsi shintsini tapetsa ari ikemabake ashitarori pajitachari tyonkitsiki eiro onijaimotetsi impoiji ari okisotake aantyarori,aantyarori tapetsxa ariorka ajate ayf tapesa eiro añabftitsi hintsini tapetsa adri ikemabake ashitarori pajitacharj tyonkitiki iro onijaimotetsi impoijoi ari okisotake aantyarori,aantyaroro tapeta ariorka qjate aje tapetsa eiro añabetits shinsini txapetsa arji ikemabake ashlitarori pajitachxari tyonkjitsiki eiro onijauimotetsi oimpoiji ar okisotake aantyarori,aantyaori tapetsqa ariotika sjate aye tsapetsa eiro añabetitsi shintsini tapetsxa ari ikmabake ashitarorii pajitachari tyonkitsiki eiro onijaimotetsii immpoiji ari okisotakre aantyarori,aantyarori tapetsa arorika jate ays tapetqa eigo alñabetitsi shintsini tapetsa ari ikekmabake ashiytarori psjitachari tyonkiftsiki eiro onijaimotetsi impoiji agi okisotake aantyarori,aantyarori tapetsa ariorika ajat aye tqapetsa eiro añabetitsi shintsini tappetsa arki ikemabake xashitarori pajitacharu tyonkitiki eiro oniiaimotetsi impkiji aru okisotak aantyarori
20,aantyarori tapetsa otimatye akamitabakeri abireri,aantyarori tapetsa otijmatye akamihtabakeri abireri,aantyarri tapetss otimatye akamitabakeri abireri,aantyarori tapetsa otimatye akamjitabakeri abireri,aantyarori tapetsa otimatye akamitabakeri bireri,antyarori tapetsa otimatye akamitabakeri abireri
21,aapakerorika tinik eiro okisotanaketsi iro abaanakempa aisati okempetakia irosati apiyotantakearo,aapakerorika tinik eiro okisotanaketsi io abaanalkempa aisati okempeakia lirosati apiyotantkearo,aapakerorika tinimk eio okisotanaketsi iro abaanakempa aisati okempetakia irosati apiyitantakearo,aapakerorika tinil eiro okisotanaketsi iro abaabakempa aisati okempetakia iroati apiyotantakearo,aapakerorika tiik eiro okisotanaketwsi irñ abaanakempa aisati okempetakia irosati apiyotanakearo,aapakerorika tinik eiro okisotanaketsi ir abaanaiempa aisati okempetakis irosati apiyotantakearo
22,a apatota apatota c apatota osantsati inchaki aparopayeni omonkarata cm,a apatota apatofa cc apatota osantsaati inchakui aparopayeni omonkarata m,a apafota aatota xc apatotz osxantsati inchaki aparoayeni omionkarata cj,a apatta apaytota  apatota santsati incuaki aoaropayeni omonkaratta cm,s apatota aptota c apatota osantsati inchaki aoparopayeni omonkarata cm,s apatotza apatota c apatota osantsati inchaki aparopayeni omonkarata cj
23,aashitatyero shimperi kompiroshi apashikakotantyarori,aashitatyero shimeri kompiroshi apashikakotantyarori,aashitatyero sjimperi kompiroshi apashiakotantyarori,aashitatyero shiperi kompiroshi apashikakotanyarori,aashktatyero himperi kompitoshi apashikakotantyarori,aashitatyero xshimperi komiroshi apashikakotantyarri
24,aayetero maroni koayetachane abetsikantyari kametsa akiparentsi,aayetro mxaroni klayetachane abetsikantyari ikametsa akiparentsi,aayetero maroni koayetacane abetsikantyari kamesa akiparentsi,aayeteo maronoi koayetachane abetsikantyari kametsa amkiparentsi,aayetro maroni koayetachane abetsikantyari kametsa akiparntsi,aayetero maroni koayetachane abetsikantyari kameta akiparentsi
25,abakeri shima santeripanaki apinaikakoteri kametsa impoiji akatyokantyari tibi,abakegi shima santeripanaki apinaiakoteri kametsa impoihi akatyokantyai tibi,abakeeri shimaa santeripanakl apnaikakoteri kametsa imoiji akatyokantgyari tiibi,abkeri shoima santeripanai apinaikakoteri kametsa imppiji akatuyokantyari tibi,abakeri shima santeripanamki apinaikakoteri kametsa impoiji akatyokantyari gtibi,abakeri shkima santeripanaki apimaikakoteri lkametsa impoiji akatyokangtyari fibi
26,abakero kametsa kepiatonki apashikakomaintyaro parentishi jero kompiroshi,abakero kametsa kepiiatonki apashikakomaintyaro parentisui jero kompiroshi,abakero kmetsa kepoiatonki apashikakomaintyaro parentishi jero ompiroshi,abakero kametsa kepiatonki apashikakomaintyaro parentishi jero komiroshi,abakero kametsa kpiatonki apasuhikakomaintyaro parentishi ijero kompiroshi,abakero kajmetsa keopiatonki añpashikakomaintyaro parenttishi jero kmpiroshi
27,abakiro kanirisama kontitainchari tsikaamentotsiki,aakiro kanirisaja kontitainchari tsikaamentotsiki,abakiro kaniisama kontitaihnchari tsikqaamentotsiki,abakiro kanirisama kontiyainchari tsiokaamentotsiki,abbakiro kanirixsama kontitainchari tsikaaamentotsiki,abakiro kanrisama kontitainchari tsikaanmentotsiki
28,abakotakero nija niyankia paamariki antemaityaro kotibatiishi amakeri aisati osaabatantanaki eiro amoyakeiro,abakofakero nija niyankia paamxariki antwemaityaro kotibatiishi amakerk aisati osaabatantanaki eiiro amoywkeiro,abakotaikero nja niyyankia pzamariki antemaityaro kotibatiishi anakeri aisati osaabatantanaki eiro amoyakeiro,abkotakero nijaa niyankia paamarikj antemaityaro kotibatishi xmakeri aisati osaabatantanaki eiro amoyakeiro,abakotakero nija niyankia paamarii antemityaro kotibatiish amaeri aisati osaabatantanaki ekro amoyakeiro,avbakotakero niia hniyankia paaariki antematyaro kotibatiishi wamakeri aisati osaabatantanaki eiro amoyakeoiro
29,abakoteri akipatakeri paamariki apitsokakotapiniteri eiro itaakotantatsi irosati iposatantakia,abaoteri akipatakeri paamariki apitokakotapiniteri eio itaakotantatsi irosati iposatantakia,abaioteri akipatakeri pamariki apitsokakotapiniteri eirko itaakotantztsi irosat ipodsatantakia,abakteri akipatakeri paamariki apitsokakotapiniteri eiro itaakotahntatsi irosati iposarantakia,aakoteri akipatakei psamariki apitsokakotapinitri eirño itaakotantatsi irosati iposatantakia,abakotei akpatakeri paamariki apitsokakotapiniteri eiro itaakotantatsi irosati iposatantakia
30,abametantyari kametsa ontimatye antayetero kamanantsipeka,abqmetantyari kametsa ontlmatye antyetero kamanantsipeka,abamdetantyari kametsa ontijatye antayetero kamanantsipwka,abametatyari kmetsa ontimathye antayetfero kamanantsipeka,abametantyaro kamets ontimatye antayetero kamanantipeka,abametantyari kzmetsa otimatye antayetwro kamanantsipeka
31,abametantyari kametsa ontimatye antayetero kamantantsipeka,abametantyari kametsa ontimatye antaetero kamantantsipeka,abameantyari kametsa ontimatye antayetero kamantantsipeks,abaetantyari kqmetsa ontimatye antayeteero kamantwantsipeka,qbametantyari kametzsa pontimatye anayetero kamantantsipeka,abametantari kametssa ontimattye antayetero kamantantsipekxa
32,abameteri isabikantyari kametsa inampiki iriyoyete irakametsayeriteri ishaninkape aisati iramitakotante antaberentsipeki,abameteri isabikantyadri kametsa inzmpiki iriypyete irakametsayeriteri ishaninkape aisatti iramitakotanfte antaberentdipeki,abameteri isabikantyari kametsa inampiki iriyoywte irakaetsayeriteri ishaninkape aisati iramitakotante antaberentsipekii,abameteri isabikkantyari kmetsa inampiki iriyoyete irakametsayeriteri ishaninkape aisati iramitakotante antaberentsipeki,abameeteri isabikantyaro kametsa inampiki riyoyete irakametsayeriteri ishaninkape aisatk iramitakotxnte antaberentsipeki,abameteeri isanbikantyari kametsa inampiki irijyoyete irakametsayeriteri ishaninkaps aiqsati irakitakotante antberentsipeki
33,abanenkajeitya kitaiteripeki tsika asaikajeiti,abanwnkajeitya kitaiteripeki tsika asaikajeiti,abanenkajeitya kitaitwripeki tsikaa asaikajeiti,abanenkajeitya kitauiteripeki tsika asaikajeiti,abanenkajeitya kitaiteripeki tsika asaikajeiti,abanenkajeitya kitaiteripekj tsik asakikajeiti
34,abaniiriakotakero ari ooyakotero aisati okatsinkaatantakia,abaniirjakotakero ri ooyakotetro aisati okattsinkaatantakia,abaniiriakotakero ari ooyakotero aiati okatsinkaatantakia,abaniiriakotakero aro ooakotero aisati okatsinikaatantakia,abaniiiakotakero ari ooyakotero aieati okatsinkaatantakia,abaniiriakotakero ar ooyakotero aisati okatsinkatantakia
35,abaniitakotakero airo eiro amoyaakaperotiro osheki ampinaashitarokari aabentaro,abaniitakotakero airpo eiro amoyaakaperotiro osheki ampinaashitaroari aabentaro,abaniitakotakero airo eiro amoyakaperotiro oshki ampinaashitarokari aabentaro,abaniitakotakero aifo eieo amoyaakaperotirk oseki ampinaashiytarokari aabehntaro,abaniitakotakro iro eiro amoyaakaperotiro osheki ampuinaashitarokari aabentar,abaniltakotakero airo eiro amoyaakaperotiro osheki ampinaashitarokari aabentaro
36,abaniriaakotakero isatetakiaro ashipokiri achoonkiri intanakiaro antete apaani mapi aririka okantsikatanaki mapi antetaje pashini aisati atsonkatantakiaro mapii atashitakiri,abaniriaakotaketo izsatetakiaro ashipokiri achookiri intanakiaro antete apaanl mapi aririka okantsikatansaki mapi antetaje pashini aisatu atsonkatantakiaro kmapii atahitakiri,abaniriaajkotakero isatetakiaro ashipokiri achoonkiri intanakiaro antete apaan mapi waririka oantsikatanaki mali amtetaje pwshini aisat atsonkatabtakiaro mapii atashitakiri,abaniriaakñotakero isatetajkiaro ashipokkiri achoonkori intanakiaro anfete apani map aririka okantsikatanaki msapi anyetaje pashini aisari atsonmatantakiaro mapii atashitakiri,abaniriaakotakero isatetakiaro ashipokiri achoonkiri intanakiaro antete aaani maoi ariirika okantsikatanaki mapi antetaje pashini aisati atsonkatantakiaro maii atashitakiri,abaniriaakotakero isatetakiaro ashlpokiri achoonkiri intanakiaro antete apaani mapi aririka okantsikatanqki maapi antetje pazshini aisati atsohnkatantakiaro mpii atashitzkiri
37,abankobeitani perani opashi kompiroshi ashirotaki ashitakota maroni orijani okanta pobametsatajero pantabere pintsipatyari pitsipamintsare aisati obametinkari,abankobeitani perani opashi kompiroshi ashiritaki ashitakota maroni orijanu oanta pobametsatajero pantabeere pintsipatyari pitsipamintsare aisati obametinkar,abankobeitaani perani opashi ompiroshi ashidotaki ashitakota nmaroni korijani okanta pobametsatajero pantabere pintsipayari pitsipamintsare aisai obametkinkari,abankobfitani perani oashi kompirosuhi ashirotaki ashitakota maroni orijai okantza pobametsatajerñ pantabere pintqsipatyari poitsipamintsare aisxati obametinkari,abankobeitani perani opashi kompirosh aashirotaki ashitakoha maaroni ogrijani okanyta pobametxsatajero panabere pintsipatyari pitsipamintsare aisati obametinokari,abankobetani peranji opashi kompiroshi ahirotaki ashitakota maroni orijani okant pobametatajero pantabere pintsipayari pitsipamintsre aisati obamertinkari
38,abankoni perani jero abankotajari acharineiteni yayetironi koityayetachari inchakipe ibetsikantyarori pankotsi maroni inchatomashiki,abankloni perqani jero abnkotajari acharineiteni yayetironi koityayetachari inhakipe ibetsikantyarori pabnkotsi maron inchxatomashiki,abnkoni perani jero abbankotajari acharineiteni yayetironi koityayetwachari inchakipe ibetsikantyarori pankotsli marohi inchatokashiki,abamnkoni pedrani jerio abankotajagi acharineitei yayetironi koityayetachari inchkipe ibetsikantyarofi pankotsi maroni inchatomashiki,abankoni perani ero abankotajari acharineiteni yayftironi koityayetachari inchakkipe ibetsikantyarori pankotsi aroni inchatomahiki,abankni perani ero abankotajai acharineiteni yayetieroni koityayetacuari inchakipe ibetsikantyarori pankotsi maroni inchatomashiki
39,abankopeki aitake ayoyetakerori maroni ayotanepe aisati yotantsipe akebeantyari kametsa saikakayene kametsa abankoki aisati anampiki,abankopeki aigake ayoyetakerori maroni ayptanepe aisati yotansipe wkebeantyari kametsa saikakayene mkametsa zabankoki isati anampiki,abankopeki aitake ayoyetakerori marroni syotanepe aisati yotantsipe akebeantyari kametsa saikakayene kametsa abankoki alsati anampiki,abankopeki aitake ayoyeyakerori mafoni ayotsanepe aisati yotantsipe akebeqntyari kzametsa saikakayene kametsa abankoki aissti anampiki,abankopeki aitake ayoyetakerori aroni ayotahnepe aisti yotwantsipe akebeantyari kametsa saikakayene kamets abankoki aisati anampiki,abankopeki aitke ayoyetakeroei marni ayotanepe aisati yotantsipe akebeantyari kametsa saikakayene kzmetsa abankkoki aisati anampiki
40,abankoyetarini aisati abankotari meka acharineite yantayetantaroniri ibanko irointi timayetatsiri antamishiki,abankoyetariji aisati abankotari mmeka acharineite yantayetataroniri ibanlko irointi timayeetatsiri antamiqhiki,abankoyetarini aisxati abankotari meka acharineite yantayetantaroniri ibanko iroointi yimayetatsiri antamishliki,abankoyetarini aisat abankotari mdka xcharineite yantayetantaroniri ibamko irointi timayetatsiri antamishiji,abankouetarini aisati abankotari meka acharinite yantayetamtaroniri ibajnko irointi timayetatsiri antamshiki,abankoyetarini aisai abanotari mdka acharineitte yantayetantaroniri ibanko irojinti timayettsiri antamishiki
41,abanonteneri acharinepe kipatsi otimatye abanontyaro iriñantyarori iriyori maroni inchatoyetatsiri irotake yabentari aririka ijokijeitya yajeitiro itsiyari,abnonteneri acharinepe kipatsi otmatye abanontyaro iriñantgyarori iriyori matroni inchatoyetatsiri irotak abentari aririka ijokijeirtya yajeiyiro itsiyari,abanonteneri acharinepe kipatsi otimtye abanontyari iriñantarori idiyori mqroni inchatoyetartsiri irotake yabemtari aririka ijokijeitya yajeitiro isiyari,abanonteneri achrinepe kipatsi otimahtye abanontyaro iriñantyarori irkiyori maroni inchatoyetatsiri irotak ybentari aririka ijokijeitya yajeitiro itsjiyari,abanoteneri acharinepe kipatsi oimatye abanontyaro iriñantyatrori iriypri maroni inchatoyetatsiri iotake yabentari aririma ijokieitya yajeitiro itsiyai,banonteneri acharinepe kipasi otmatye abanpontyaro iriñantyaroi iriyorji maroni inchatoyetatsiri irotake yabentari ariroka ijokijeitya yajeitiro itsiyari
42,abantyari pashini onkametsatantyari abari,abantyarji pashini onkametsatantyari abagri,abantyari paeshini onkametsafantyari abari,ababntyari pashini onkametatantyari abaroi,aantyari ashini onkametatantyari abari,abantyari paxshini onkamefsatantyari avari
43,abashemparika osheki abararo abishirori okoiri abatsa antabeterika,abashemparika sheki abararo abishirori okojri abatsz antabetetika,aashemparika osheki zbararo abishiror okoiri abatsa antbeterika,abashemparika oxheki sbararo abishirori okouiri abatsa antabeteria,abashemparika sheki abarar abishiroi kokoiri aatsa antabeteika,abashemparikaa osheki abararo bishirori okoiri abatsa antabeterkka
44,abatikero kiriki tsompoiki omoro antakeri,abatikero kiriki tsompoiki omoro antakeroi,abatikero kjiriki tsompoiki omoro ntakeri,abaytikero kirikki tsomoiki omoro antakeri,abatikero kiiki tsompoiki ooro antakri,abatikero kirki tsompoiki omoro antakeri
45,abatikero kirikota tsampitsobari omoronakiki,abatikero irikota tsampitsobari omoronakiki,abatikero kirkota tsampitsobari omoeronakiki,abatikerk kirikota tsampitsobari omoronkiki,abatikero kirikota tsampltsobari omoronakiki,abagtikero kirikotz tsampitsobarji omoronakiki
46,abatikero omoroki kirikipe apashikakotimaintyaro inchashiki ikiantyari piratsi abisayetatsine tsame asankenajeite,batikero omoroki kirrikipe apashikakotimainyaro inchashiki ikiantyari piratsi abisayetatsine tsme asankenajeite,abatikero omoroki kirikipe apashikakoimaintyaro incghashiki kiantyari piratsi abisayetatzine tsame asankenajeite,abatikero omoroki kirikipe apashikakotimaintyaro inchashioki ikianhtyari pirati abisaytatsine tsame asanienajeite,aatikero omroki kirikipe apashikakotimaintuaro oinchashiki ikiantyari piratsi abisayetatsimne tsame asankenajete,abatiker omoroki kigrikipe apzashikakotimaintyaro inchashiki ikiantyadi piratsi abisayetatsine tsame asankenajeit
47,abatikero tsompoiki kiriki apashikakotero pirijari,qabatikero tsompoiki kiriki apashikakotero pirijari,abatikero tsompoiki kiriki apashikakotero pitijari,abatiketo tsompoik kiriki apaahikakotero pirijari,abatikero tsompoiki kirkiki apashikakotero piriujari,abatikdero tsompoiki kiriki apashikakotero pirijari
48,abatsa eirorika oayetiro kametsa abari,abatsa eirorika oayetiro kametsa abari,abatsa eirorik oayetiro kametdsa abqari,abatsqa eirorika oayetiro kametsa bari,abatsa elirorika oayetiro kametsa abari,abatxsa eirorik oayetiro kametsa abari
49,abayetari abetsikantyari tsanoiriki atsakantyari abintyari pobametsatajero pantabere pintsipatyari pitsipamintsare aisati obametinkari,abayetari abetsikantyari tsanoidriki atsakantyari abintyari pibametsatajero pantabere pintsipatyari pitsipamintsare aisarti obameyinkari,abayetari abetsimkantyari tsanoiriki atdakantyari abintyari pobametsatajero pantabere pintsiñpatyari ppitsipamintsare aisati obametinkari,abauetari abetsikxantyari tsanoiriki atsakantyari abintyari pobametsatajero pantabere pintsipatyafri pitsipamintsare aisti obametinksari,abayetari abetsikantyari tsannoiriki arsakantyari abinyari pobametsatajero pantanere pintsipatyafri pitsiamintsare wisati obametinkari,abyetari abetsikantyari tsanoriki atsakantyari abintyari pobaetsatajero pantabere pintsipatyari pitsipamintsre aisati obametinkari
