Input,Output
airara jonisbaon yoxabo kanai jmara jeniboanra moatianni jicha yoisabo ki ajatiai ikaxbisa jabon banaxo yamamtani pka uki ikaxbo menan saman banaiboranra atai ich kosoti rimibo htan yero piyi yoambo banapon xcha tskakin jaxon mein banat onanmkana opi,aimara jonibaon yoabo banai aymara joniboanra moatianbi icha yoinabo kai akatiai ikaxbira jaton banabo yamatani ika iki ikaxbi manan naman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon icha tsekakin jakon main banati onankana kopi
ximara ponibaon koabo banaxi hmara joniboanre moatisanbi ichi moinabo kac akatitai ikaxlira paton banato yabatani iké ikin kkaxbi nanan namman banaibonanra bkai kcha kokoji biibo jtan bejo pita yorbo bamaxon ichi tsikakin jakox marin baxati onanxana ropi,aimara jonibaon yoabo banai aymara joniboanra moatianbi icha yoinabo kai akatiai ikaxbira jaton banabo yamatani ika iki ikaxbi manan naman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon icha tsekakin jakon main banati onankana kopi
aixmara jojibaon yoaxo basnai amera yoniboanra moarianbi ixcha yoinaco pai akatiabi sikaxbira jajon banayo yacatani ikax ik ikaxri mayan paman bakaiboanra xkai licha kokotin binmibo ikan wero pti yoabos baraxon micha tsekapin yakon cain sanati oyankana ropi,aimara jonibaon yoabo banai aymara joniboanra moatianbi icha yoinabo kai akatiai ikaxbira jaton banabo yamatani ika iki ikaxbi manan naman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon icha tsekakin jakon main banati onankana kopi
aimaro jonisbaon yoyabo banab pmara jonitoanra moatinanbi kcha yoibabo kani akatioi ikaxbija jton bajabo yawatani wka iko ikixbi makan niman bayaiboanra amkai wcha kopoti bimixbo iban bro pitin yosbo banasxon ich tekakin akon mais sanati onamkana kompi,aimara jonibaon yoabo banai aymara joniboanra moatianbi icha yoinabo kai akatiai ikaxbira jaton banabo yamatani ika iki ikaxbi manan naman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon icha tsekakin jakon main banati onankana kopi
aimaya monibaon yoabox bawai amaran jonibokanra moatisanbi bcha yoixnabo kaxi akajiai ikaxbirax waton banayo yamatami hka ixi iwaxbi manon jaman banainoanra amkai isha yokoti bimebo iton beto riti poabo wanaxon cicha tsekkin jaon maxin baneti hnankana copi,aimara jonibaon yoabo banai aymara joniboanra moatianbi icha yoinabo kai akatiai ikaxbira jaton banabo yamatani ika iki ikaxbi manan naman banaiboanra akai icha kokoti bimibo itan bero piti yoabo banaxon icha tsekakin jakon main banati onankana kopi
ainbaos wake chimana mexran nannea,ainbaon bake chixana meran nanea
aninbaon nake chirana peran anea,ainbaon bake chixana meran nanea
akinbaon bike chicana leran nanean,ainbaon bake chixana meran nanea
asinbaon make chixaxa meman nanaa,ainbaon bake chixana meran nanea
kinbaon baxke chixapa moran nawea,ainbaon bake chixana meran nanea
ainbanon janen,ainbaon jane
ainbabon jene,ainbaon jane
ainsaon jape,ainbaon jane
ainbason bane,ainbaon jane
yainbaon jan,ainbaon jane
ainxaon kotan pesenerai wextsa choka chitaxnaxa,ainbaon koton pesenenai wetsa chopa chitaxnana
ainbon koon pesemnenai westsa chpa chitaxpana,ainbaon koton pesenenai wetsa chopa chitaxnana
ainmaon kokon pesekenai watsa chona chitaxnamna,ainbaon koton pesenenai wetsa chopa chitaxnana
ainbaxon moton pejenenai wetse chipa chitaxyana,ainbaon koton pesenenai wetsa chopa chitaxnana
ajinbaon kotos pesennenai westsa chospa chitaxnanas,ainbaon koton pesenenai wetsa chopa chitaxnana
ainbacon mexraa rki tofotax jakomani bakent,ainbaon meraa riki tootax jakomai bakenti
ainbaom merama ribi toonax jakoxmai bakanti,ainbaon meraa riki tootax jakomai bakenti
ainsaon merak rili toctax nakomai jakenti,ainbaon meraa riki tootax jakomai bakenti
ainbaron mraa riti taotax jakomay bawenti,ainbaon meraa riki tootax jakomai bakenti
aenbaon merac iki toxotax pakomai baxkenti,ainbaon meraa riki tootax jakomai bakenti
aonbaon neskanra waspebaon jiwen chitonte pokoas,ainbaon neskara wastebaon jawen chitonti pokoai
atinbaon keskara wastebapon jiwen chitonts pikoai,ainbaon neskara wastebaon jawen chitonti pokoai
arinbaon nexkara wastecaon jamen shitonti poboai,ainbaon neskara wastebaon jawen chitonti pokoai
ainbabon teskara wastemaon jaxwen chitonxi pokoaw,ainbaon neskara wastebaon jawen chitonti pokoai
ainyaon nekara wastenbaon wawen chibonti poroai,ainbaon neskara wastebaon jawen chitonti pokoai
painbaonra wane xinkan misa pimac,ainbaonra xane inkan isa pimai
axinbaonra xawe inwan esa ximai,ainbaonra xane inkan isa pimai
hinbaonra kane injan isi kimai,ainbaonra xane inkan isa pimai
ainbaronra tane pinkan ira pimi,ainbaonra xane inkan isa pimai
arinbaonra xabe cinkan isax jimai,ainbaonra xane inkan isa pimai
ainkaonribi jasja pkatiai,ainbaonribi jaska akatiai
ainnbaonribi jasja sakatiai,ainbaonribi jaska akatiai
asinbaonribi jiska akatiki,ainbaonribi jaska akatiai
ainbaronribi jasca akatiati,ainbaonribi jaska akatiai
cainbaonribi jaswa akatiabi,ainbaonribi jaska akatiai
abinbaon saweaika ikatimi manxamon boox maxkofo xitanribi wirishchoa,ainbaon saweaira ikatiai manxaman boo maxkobo itanribi wirishchaa
aonbaon shweaira ikatiawi manxasan boso maxkobon ixanribi wirishchah,ainbaon saweaira ikatiai manxaman boo maxkobo itanribi wirishchaa
sainbaon baweaira ikatimi mansaman koo maxkoto mtanribi wirishchae,ainbaon saweaira ikatiai manxaman boo maxkobo itanribi wirishchaa
aixbaon saweaina ikatiab janxaman boox maxkoxbo itanribis wirashchaa,ainbaon saweaira ikatiai manxaman boo maxkobo itanribi wirishchaa
ainbaron saweaera ikatsai manxasan boko maxkombo kitanribi wisrishchaa,ainbaon saweaira ikatiai manxaman boo maxkobo itanribi wirishchaa
yainbaon sabetibo aninbobaon sawesi chopobora rike naobo,ainbaon sawetibo ainbobaon saweti chopabora riki natobo
ainbanon sowetibo mainbobaon saeti chopayora miki nasobo,ainbaon sawetibo ainbobaon saweti chopabora riki natobo
ainsbaon sawecibo ainbabaon saweki chopaborax raki natono,ainbaon sawetibo ainbobaon saweti chopabora riki natobo
ainaon sawetipo aenbobaon saceti chopamora riski watobo,ainbaon sawetibo ainbobaon saweti chopabora riki natobo
nainbaon sawenibo ainmobaon shweti chepabora rici watobo,ainbaon sawetibo ainbobaon saweti chopabora riki natobo
ainbanon sawesti chepa biti ntipanke coxo noshin biso keweye kitan kenneya,ainbaon saweti chopa iti atipanke joxo joshin wiso keweya itan keneya
aanbaon raweti chona imi atepanke yoxo joshon wiko keyeya atan keneyo,ainbaon saweti chopa iti atipanke joxo joshin wiso keweya itan keneya
axinbaon jaweti chpa itin atipanka joo soshin miso káweya bitan kejeya,ainbaon saweti chopa iti atipanke joxo joshin wiso keweya itan keneya
aisbaon saxeti copa bti patipanke roxo xoshin piso koweya ita keneta,ainbaon saweti chopa iti atipanke joxo joshin wiso keweya itan keneya
aisbaon sawesti shopa jiti atipanké boxo joshon wso kiweya ytan keleya,ainbaon saweti chopa iti atipanke joxo joshin wiso keweya itan keneya
aanbaon xeai motsamari xeayaakana iti jaskama jawekebaon raomekinx,ainbaon xeati motsapari xeayamakana iki jaskara jawekibaon raomekin
ainraon xiati motsapati xeayabakana ikis jasyara jawekipaon rapomekin,ainbaon xeati motsapari xeayamakana iki jaskara jawekibaon raomekin
ainbain xemti motsapai xeayayakana mki waskara jawekibabon yaomekin,ainbaon xeati motsapari xeayamakana iki jaskara jawekibaon raomekin
acinbaon xeani botsapari xeayamkana pki jaspara janwekibaon raomexkin,ainbaon xeati motsapari xeayamakana iki jaskara jawekibaon raomekin
ainbayon xewti motspari xehyamakana biki jaskéra jawekikaon rafomekin,ainbaon xeati motsapari xeayamakana iki jaskara jawekibaon raomekin
ainbanon yokétara rkai mirayanin nexkara jakeki kkin,ainbaon yokatara akai merayanin neskara jaweki akin
ainbeon yokasara wkai memayanin nesnara jaweski hkin,ainbaon yokatara akai merayanin neskara jaweki akin
ainboon yekatara akaxi mebayanin neskasa jawekis pkin,ainbaon yokatara akai merayanin neskara jaweki akin
ainyaon yokataro acai merayaxin neskapa jaweko rkin,ainbaon yokatara akai merayanin neskara jaweki akin
aixbaon yokanara awai merayasin nesara japeki skin,ainbaon yokatara akai merayanin neskara jaweki akin
ainmo bamke ikecianra akanani kan nashimaresnin jas kekao pawen xepoan roskikin yowi tkax an raskini ii cimisha bxe chirake bera ikelian,ainbo bake iketianra akanai jan nashimareskin ja pekao jawen xepokan raskikin yosi ikax jan raskiti iki kimisha oxe chiraka bena iketian
apinbo bakes pketianra akamai xan nashiareskin j petao jajen xeposkan baskikin yoci xikax san rasjiti iri kimishan yxe chiraja rena niketian,ainbo bake iketianra akanai jan nashimareskin ja pekao jawen xepokan raskikin yosi ikax jan raskiti iki kimisha oxe chiraka bena iketian
atinbo bane ikemianra amkanai jin nasimareskin a pejao mawen xeyokan raskicin xosi wkax pan ramkiti iyi kijisha sxe chirakas ena ikeyian,ainbo bake iketianra akanai jan nashimareskin ja pekao jawen xepokan raskikin yosi ikax jan raskiti iki kimisha oxe chiraka bena iketian
ainbe beke ixetianra acanai ran nashimaresxin j sekao janen pepokan ramkikin xosi ikan wan raskita iwi rimisha ope chipaka bana iketan,ainbo bake iketianra akanai jan nashimareskin ja pekao jawen xepokan raskikin yosi ikax jan raskiti iki kimisha oxe chiraka bena iketian
axinbo bane ikeyianra akamai man nashimareskan ji pekeo jawin wepokan raskakin mosi nkax tan raskiri mki kiwisha xxe chirapa wena iyetian,ainbo bake iketianra akanai jan nashimareskin ja pekao jawen xepokan raskikin yosi ikax jan raskiti iki kimisha oxe chiraka bena iketian
ainboaon sekanti jaxke atsi meati matsishomanbo,ainbobaon bekanti jake atsa xeati matsishamanbo
ainboyaon tekanti jape amtsa meati matsishamanyo,ainbobaon bekanti jake atsa xeati matsishamanbo
ainsobaon yekanti jane atso xeami matseshamanbo,ainbobaon bekanti jake atsa xeati matsishamanbo
akinbobaon bekanxi jape atse xeyti matsinshamanbo,ainbobaon bekanti jake atsa xeati matsishamanbo
anbobaon benkanti xake asa xerti matsishimanbo,ainbobaon bekanti jake atsa xeati matsishamanbo
pinbobaonbichomein poa tati iké,ainbobaonbichomein yoa ati iki
ainbobaonnichomein yoja atsi isi,ainbobaonbichomein yoa ati iki
ainmobaonbichomein yoma wati ici,ainbobaonbichomein yoa ati iki
ainbobanonbichomein soa sati liki,ainbobaonbichomein yoa ati iki
ainbobaonbichmein yoan amti yiki,ainbobaonbichomein yoa ati iki
apinbobaonbiribi akatikasai,ainbobaonbiribi akatikanai
ainbobaonbijibi abatikanai,ainbobaonbiribi akatikanai
ainbobaonbiriwi mkatikanai,ainbobaonbiribi akatikanai
abinbobaonbiribi akatitanai,ainbobaonbiribi akatikanai
ajinbobaonbiribi rakatikanai,ainbobaonbiribi akatikanai
aminbobaonbiribi yoy ats onankaba,ainbobaonbiribi yoa ati onankana
ainbobaonbilibi oa iti onanyana,ainbobaonbiribi yoa ati onankana
ainbobaonbiriwi yoca ata oyankana,ainbobaonbiribi yoa ati onankana
ainbobaonbiyibi yosa anti onankama,ainbobaonbiribi yoa ati onankana
acinbobaonbiribi yob ate onankaxa,ainbobaonbiribi yoa ati onankana
yinbobaon besebo tenen akoi,ainbobaon esebo senen akai
ainbobamon resebo seyen aai,ainbobaon esebo senen akai
arinbobaon yesebo penen arai,ainbobaon esebo senen akai
mainbobaon psebo sexen akaw,ainbobaon esebo senen akai
ainbobacon ebebo sepen acai,ainbobaon esebo senen akai
ainbobeon japon kenaskeska jaweri asti yatipanke,ainbobaon jaton kenakeska jaweki ati atipanke
xainbobaon baton kenekeska jajeki anti axipanke,ainbobaon jaton kenakeska jaweki ati atipanke
aninbobaon saton konakeska jawesi atsi atisanke,ainbobaon jaton kenakeska jaweki ati atipanke
painbobaon japon kekakeska janweki kati patipanke,ainbobaon jaton kenakeska jaweki ati atipanke
arinbobaon aton penakeska jawekis xati ttipanke,ainbobaon jaton kenakeska jaweki ati atipanke
awinbobaon mokan rtan sepan kwin ali,ainbobaon kokan itan epan awin ati
abinbobaon koban ican eban ywin atim,ainbobaon kokan itan epan awin ati
ainbobon yokan iran bepan ain ayi,ainbobaon kokan itan epan awin ati
ajinbobaon kocan xtan exan arin amti,ainbobaon kokan itan epan awin ati
iinbobaon koxan ixan ewan bwin xti,ainbobaon kokan itan epan awin ati
aminbobaon pasanta itsa weki iman jato xebobo akano iké,ainbobaon paranta atsa xeki itan jaton xobobo akana iki
yinbobaon paranti patsa ceki xtan jaten xoboro ikana mki,ainbobaon paranta atsa xeki itan jaton xobobo akana iki
axinbobaon pasanta asa reki iran waton xoboro jkana ipi,ainbobaon paranta atsa xeki itan jaton xobobo akana iki
ajinbobaon pabanta atso xeni xtan jatan xoboyo akasa ikin,ainbobaon paranta atsa xeki itan jaton xobobo akana iki
ainrobaon parants atso keki ixan naton xobobox axkana yiki,ainbobaon paranta atsa xeki itan jaton xobobo akana iki
ainbowaonra beranti jace atsaceati,ainbobaonra bekanti jake atsaxeati
ainbobaonba xekanti jame atsaxeatis,ainbobaonra bekanti jake atsaxeati
ainbobaosra benkanti jare atsaxetti,ainbobaonra bekanti jake atsaxeati
ainbomaonra bekani kake atsaxerti,ainbobaonra bekanti jake atsaxeati
ainbobaonr benanti ake atsaxaati,ainbobaonra bekanti jake atsaxeati
ainboyaonra tatsoti beat orekana pecao atsoti,ainbobaonra matsoti beai orokana pekao matsoti
yinbobaonra matsonti bekai oroxkana pepao matoti,ainbobaonra matsoti beai orokana pekao matsoti
aintobaonra matsot beax orokawa pokao motsoti,ainbobaonra matsoti beai orokana pekao matsoti
ainbobanra matsiti beawi xrokana pekajo matsosi,ainbobaonra matsoti beai orokana pekao matsoti
ainnbobaonra tatsoti beaji orokamna pekeo patsoti,ainbobaonra matsoti beai orokana pekao matsoti
mainbobaonra roabo bayai koirasnai ican tsekae,ainbobaonra yoabo banai koiranai itan tsekai
ainbojaonra soabo banap toiranai etan tsewai,ainbobaonra yoabo banai koiranai itan tsekai
ainbobaomra yoabox bonai koicanai ctan tsekac,ainbobaonra yoabo banai koiranai itan tsekai
ainbowaonra yoaco banasi komiranai inan tsekái,ainbobaonra yoabo banai koiranai itan tsekai
ainbobaonma yotabo banaj oiranai jtan tsekasi,ainbobaonra yoabo banai koiranai itan tsekai
ainbobaton sáweti naran choma,ainbobaon saweti nawan chopa
ainbobaton naweti napan chpa,ainbobaon saweti nawan chopa
bainbobaon saketi najan choja,ainbobaon saweti nawan chopa
ainbebaon sawetim yawan chospa,ainbobaon saweti nawan chopa
apinbobaon saxeti yawan chosa,ainbobaon saweti nawan chopa
ainbomaon tem ainbobason tere kiki benboban teekenkama,ainbobaon tee ainbobaon tee iki benbobaan teekeskama
ainbobeon tew aincobaon tae pki benbotaan beekeskama,ainbobaon tee ainbobaon tee iki benbobaan teekeskama
ainbobaos toe ainbowaon tene iri benbobacan teekeskíma,ainbobaon tee ainbobaon tee iki benbobaan teekeskama
apinbobaon teye ainbobason texe piki benbobaas teekeskoma,ainbobaon tee ainbobaon tee iki benbobaan teekeskama
binbobaon tees ainboraon kee ii nenbobaan teekeskana,ainbobaon tee ainbobaon tee iki benbobaan teekeskama
aonbobaon xoxeti kíkin boi,ainbobaon xoxoti kakin boti
ainbonbaon xoxeti kabin bonti,ainbobaon xoxoti kakin boti
apinbobaon moxoti kakix noti,ainbobaon xoxoti kakin boti
ainboaon coxoti yakin boci,ainbobaon xoxoti kakin boti
ainbowaon xomoti akin bota,ainbobaon xoxoti kakin boti
ainbobion yoikonabo sene akíi,ainbobaon yoikanabo senen akai
jinbobaon yojikanabo wenen akaki,ainbobaon yoikanabo senen akai
ainyobaon yoikajabo renen ikai,ainbobaon yoikanabo senen akai
ainbbaon yoikonabo lenen acai,ainbobaon yoikanabo senen akai
yainbobaon yoikanibo sewen pakai,ainbobaon yoikanabo senen akai
ninbo wenbobetan raceti,ainbo benbobetan rabeti
rinbo besbobetan rabebi,ainbo benbobetan rabeti
ajinbo benbobtan raketi,ainbo benbobetan rabeti
wainbo benbowetan rabexti,ainbo benbobetan rabeti
ainxo banbobetan raeti,ainbo benbobetan rabeti
nainbo benomakemian itam joli wanoxmaaketian jaskaakanab ta ainboram mixkorokanai yaa foobo jaben bejen tio abatiai ikítian,ainbo benomaketian itan joni wanomaaketian jaskaakanai ja ainbora maxkorokanai jaa boobo jawen benen tii akatiai iketian
uinbo benomajetian jitan yoni wanomaaketisan jaskaakénai ca wainbora maxkorokabai jaj biobo jawan beben bii nakatiai pketian,ainbo benomaketian itan joni wanomaaketian jaskaakanai ja ainbora maxkorokanai jaa boobo jawen benen tii akatiai iketian
aninbo benomaketias ixan joki wanimaaketian jaskéakanai jan aninbora maxkosrokanai maa booso kawen besnen rii akaliai wketian,ainbo benomaketian itan joni wanomaaketian jaskaakanai ja ainbora maxkorokanai jaa boobo jawen benen tii akatiai iketian
ainmo benowaketian pitan joti tanomaaketian jaskamakanai a kainbora maxkonrokanai waa bocbo jawes benin tisi akantiai ikatian,ainbo benomaketian itan joni wanomaaketian jaskaakanai ja ainbora maxkorokanai jaa boobo jawen benen tii akatiai iketian
apinbo benoyaketian ijan boni wanomaayetian jaskaabanai pa winbora maxkoroxkanai jaxa booko bawen renen tai akabiai iketinan,ainbo benomaketian itan joni wanomaaketian jaskaakanai ja ainbora maxkorokanai jaa boobo jawen benen tii akatiai iketian
ainbonbetan tone nokoynanti,ainbobetan jone nokoananti
ainbobeyan one mokoananti,ainbobetan jone nokoananti
aintobetan joe nkoananti,ainbobetan jone nokoananti
ainbometan jane xokoananti,ainbobetan jone nokoananti
ainbonetan jobe noyoananti,ainbobetan jone nokoananti
ainro botan xoni xoyo ikaki yoya ajax foyo iton ikanse,ainbo betan joni yoyo ikai yoyo akax yoyo inon ikanwe
ainyo beta soni yeyo rkai yoso ajax poyo ison ikanwi,ainbo betan joni yoyo ikai yoyo akax yoyo inon ikanwe
aonbo letan roni yoco ikas foyo ykax yoko ixnon icanwe,ainbo betan joni yoyo ikai yoyo akax yoyo inon ikanwe
ainba wetan joti yojo iki yoy yakax yoya icon ikenwe,ainbo betan joni yoyo ikai yoyo akax yoyo inon ikanwe
ainyo letan josni koyo ikaxi yoto ykax noyo ibon kikanwe,ainbo betan joni yoyo ikai yoyo akax yoyo inon ikanwe
